"comparison","node","is_key_action","outgoing_analyzed_dyads","incoming_analyzed_dyads","sender_seed123","receiver_seed123","sender_seed456","receiver_seed456","sender_seed789","receiver_seed789","sender_seed1011","receiver_seed1011"
"cdtally_SK_GB","ss_file",FALSE,8,6,0.039593166545244,-0.0317891849663409,0.0371560698687808,-0.0302724612722153,0.0362648634329917,-0.032406867100568,0.0382208526169301,-0.0288730418407407
"cdtally_SK_GB","split_v",FALSE,11,6,0.00665636044792567,0.0140255390754386,-0.0021646637399447,0.0132701639867267,-0.00043235884235361,0.0151405806239615,0.00138113817408506,0.0131835298753065
"cdtally_SK_GB","wb_h",FALSE,13,11,-0.00296380267997609,-0.00245022608333483,-0.0112136305764272,-0.00171576715140706,-0.00966311779265393,-0.00237978634910801,-0.00786003513241088,-0.00217366227497438
"cdtally_SK_GB","wb_t_sch",FALSE,13,9,-0.0178940021912057,-0.0259973334158803,-0.03196741864431,-0.0264415595497355,-0.0259719049085595,-0.0238607562049047,-0.0282104926102334,-0.0252223004475809
"cdtally_SK_GB","ss_edit",FALSE,0,1,NA,-0.0195895793359419,NA,-0.0226823631272425,NA,-0.0192998484752544,NA,-0.0212080502741398
"cdtally_SK_GB","wb_e",FALSE,9,5,0.0430888411810709,0.0265428928226705,0.0291571385422064,0.0248986310544455,0.0339389365135914,0.0248883291365356,0.0293789942692091,0.0234910964638686
"cdtally_SK_GB","ss_sch",FALSE,5,6,0.0225037568924092,-0.040310836251226,0.0166127706863385,-0.0371654241091598,0.0157400001864877,-0.0371802425912943,0.0198563504370808,-0.0386606690544176
"cdtally_SK_GB","sch_ok",FALSE,6,3,0.0130335830038316,0.0144454279174867,0.000837899299305033,0.0148351201563391,0.00260643253747489,0.0144680660429518,0.00733863672070497,0.0109302334452632
"cdtally_SK_GB","sch_n",FALSE,6,2,0.0659222461055521,-0.0208767286637933,0.0566025290752038,-0.0172503426654878,0.0542628682485298,-0.0270780022992546,0.0572914091890094,-0.023230400430619
"cdtally_SK_GB","split_h",FALSE,12,12,0.00263643310311579,0.000569493505759397,-0.00571425438345829,0.00178397540337486,-0.00385724448572881,0.00033845246126325,-0.00193817776112918,2.67128429953485e-05
"cdtally_SK_GB","ss_help",FALSE,10,7,0.00603410193071822,0.00107225555221964,-0.00100090275646567,-0.00138573958136263,0.00973723075897394,-0.00243217017163596,0.00582851526657394,-0.00123125342787188
"cdtally_SK_GB","ss_save",FALSE,6,6,0.0424679297171073,-0.0117467400429334,0.0392719156676899,-0.0128430848418084,0.0410177064780534,-0.0141387064686286,0.0368352052883354,-0.0133796430536551
"cdtally_SK_GB","help_a",FALSE,17,14,0.00467242587114303,0.000954437909827334,-0.00367878694573683,0.000878890281745666,-0.00139187546561613,-0.001515076629172,2.0280372622026e-05,0.000392507050102334
"cdtally_SK_GB","so_1_1",FALSE,0,2,NA,-0.0224959557641526,NA,-0.0195081689799741,NA,-0.0211773523101009,NA,-0.024391898484239
"cdtally_SK_GB","sch",FALSE,0,1,NA,0.0583759870288764,NA,0.0601986667865355,NA,0.0468485610609254,NA,0.0570342523340393
"cdtally_SK_GB","sch_b",FALSE,0,1,NA,-0.272627366417493,NA,-0.266548272613502,NA,-0.255810017860393,NA,-0.259699864944538
"cdtally_SK_GB","help",FALSE,0,2,NA,-0.102080076538519,NA,-0.109210143015909,NA,-0.10599509300649,NA,-0.107315759838519
"cdtally_SK_GB","save",FALSE,0,1,NA,-0.217606814698257,NA,-0.233850626264826,NA,-0.225054991837348,NA,-0.218549685168449
"cdtally_SK_GB","ss_copy",FALSE,0,4,NA,0.00469198926040575,NA,0.00399341958775758,NA,0.0059335546766115,NA,0.000553274338703063
"cdtally_SK_GB","wb_book",FALSE,0,5,NA,0.00785799144545731,NA,0.00992851945012266,NA,0.00799832957563905,NA,0.00673221127552003
"cdtally_SK_GB","book_a",FALSE,0,1,NA,0.024858124580453,NA,0.0167387030758235,NA,0.00828164546310682,NA,0.041905662623878
"cdtally_SK_GB","ss_pst",FALSE,0,1,NA,-0.000182483196589512,NA,0.00615065363054303,NA,0.000527906928468291,NA,0.00189472001815345
"cdtally_SK_GB","book_a_ok",FALSE,6,2,-0.00974971061173492,0.047471565372804,0.00385470653809333,0.0458021345273447,-0.0183920564633577,0.0506287569823699,-0.00360562854319354,0.0481824446282145
"cdtally_SK_GB","book_m",FALSE,0,1,NA,-0.0138002867854907,NA,-0.0119281587807624,NA,-0.0172549655514093,NA,-0.0149125841676802
"cdtally_SK_GB","ss_cut",FALSE,0,1,NA,-0.00555923582066411,NA,-0.0175400631356923,NA,0.00336832582548426,NA,-0.00664861131581626
"lamp_GB","wb_pg_8",TRUE,12,11,-0.0172835859506385,0.0335041013719011,-0.0133349593375322,0.0494318038960072,-0.015509354482303,0.0395508390129467,-0.0201117710159266,0.0298248136001321
"lamp_GB","wb_pg_8_4",TRUE,12,5,-0.0119641726821207,0.0776952909659049,-0.00776414784397514,0.0733627063196607,-0.0118771271906483,0.0826897366638883,-0.0166166908859062,0.0808215229494604
"lamp_GB","wb_pg_8_4_reason_4",TRUE,9,8,-0.00771161881102867,0.0702056694891216,0.000103698209702141,0.13095389353508,-0.00866681422174753,0.115907646822675,-0.00809860666968058,0.0485618066136498
"lamp_GB","wb_pg_8_4_request_1",TRUE,10,8,-0.013722420227463,0.0106774119633007,-0.00434619412426556,-0.0437127802057807,-0.0120162053858869,-0.0194503247681073,-0.0166309386564023,0.0371999634017586
"lamp_GB","wb_pg_8_3",TRUE,9,13,-0.0238280074872812,-0.0111173739250754,-0.0128925098183975,-0.0190366712699897,-0.0220333503658888,-0.0133760751204263,-0.026843802512343,-0.00630494688986454
"lamp_GB","wb_pg_8_3_1",FALSE,5,6,-0.00944678112721213,-0.00723896607643802,0.00179047976678262,-0.0142800261082053,-0.00992785220292032,-0.00982572312182874,-0.0114783085557775,-0.0118368181367342
"lamp_GB","wb_pg_pop2",FALSE,9,3,-0.00211656165790058,-0.000914773487643568,0.00165391894319482,-0.00589113032081606,-0.00222898240645931,0.000315586587839928,-0.00442692568154458,-0.00389914302949963
"lamp_GB","wb_hist_back",TRUE,29,26,-0.00576530718855563,0.0594228909660235,-0.0043937570126785,0.0794730122555976,-0.00423346146489617,0.0615782890340948,-0.00779628032717882,0.0558383100981418
"lamp_GB","em",TRUE,32,40,0.000267549670951015,-0.00771966629941262,0.00193950530233178,-0.0106796031486655,0.00265148770668032,-0.00791276173207054,-0.00220455386390379,-0.00695415066590286
"lamp_GB","em_m_view_305",TRUE,17,13,0.0112980372160502,0.0442388200489498,0.0158141552709812,0.0387663479729419,0.0121610477883,0.0415084675033063,0.0136002040798348,0.0466375930378481
"lamp_GB","wb",TRUE,33,50,-0.0045245012277671,0.0354564527486346,-0.00340878764928831,0.0354655230721296,-0.00322491003640087,0.0369614336598953,-0.00687198625407609,0.025932942521331
"lamp_GB","keypress",TRUE,44,36,-0.0017012007004055,-0.0039041357868779,0.000314482070028734,-0.00522138457092419,0.000524119972930106,-0.00388506743544168,-0.00434875189138392,0.000530034302607469
"lamp_GB","wb_pg_8_4_submit",TRUE,5,10,-0.00415273218034812,0.0236003187793154,0.00614852870783146,-0.000199734638291895,-0.00531718689433431,0.0108249016821938,-0.0047023624699675,0.0344166068509208
"lamp_GB","wb_pg_2",FALSE,15,6,-0.000738913911890562,-0.0197157975822782,0.00041948012655052,-0.0165763940323618,0.000834223267915459,-0.0178090609490061,-0.00362831045747845,-0.0212673990611546
"lamp_GB","em_f_view",TRUE,36,32,5.08773323784224e-05,-0.0191687313563726,-0.000386182075596117,-0.00410529275994757,0.00211694653766973,-0.0180341331190853,-0.00247017153785071,-0.0242408050751394
"lamp_GB","em_m_view_116",FALSE,13,14,-0.00652499781214751,-4.61099248845865e-05,-0.00509679073281717,0.00119726280286377,-0.00417733583374069,-0.000805031826767348,-0.00892598328854891,-0.00259630573435642
"lamp_GB","em_m_view_117",FALSE,14,11,-0.00231177087351372,0.00845317081961254,-0.000672523295247204,0.00856650145121406,0.000121499018376678,0.00798275606664407,-0.00502582272440274,0.00624357909144938
"lamp_GB","em_m_view_118",FALSE,8,7,0.00416056465958234,-0.00915179841994046,0.00190195790209663,-0.00746277307987039,0.00477209285405084,-0.0083430463849215,0.00343329800172539,-0.00933756912509356
"lamp_GB","em_m_view_119",FALSE,18,16,-0.0048400052824886,-0.00119060142165715,-0.00267057432266604,-0.00261968260317982,-0.00242560691434084,-0.00236369214128544,-0.00692848540005813,-0.00302038016804279
"lamp_GB","em_m_view_120",FALSE,12,13,-0.00121558637162967,-0.00263764905958519,8.15944153511331e-05,-0.00353137132741258,0.0017263066037864,-0.00259580898923007,-0.0027006884361677,-0.00286793079787341
"lamp_GB","em_m_view_112",FALSE,12,11,0.00217603709739245,0.00401613580248921,0.00184451129677569,0.00342817885198236,0.00460238635271753,0.00447777446455658,0.000501741146177873,0.00187201307955184
"lamp_GB","em_m_view_113",FALSE,10,9,0.00238019695032605,0.00372876416058746,0.00360508998907481,0.0072460235365639,0.00555524024999283,0.00347439028952291,0.000970206453824428,0.00116817584218057
"lamp_GB","em_m_view_114",FALSE,9,5,-0.00717232443940085,0.00335758237284706,-0.00406119864739937,0.00175325971074803,-0.00358720063962815,0.000614093042732728,-0.00721150999115125,0.000191368300047556
"lamp_GB","em_m_view_115",FALSE,20,22,-0.003974451058451,-0.00244965823250032,-0.0022762072189916,-0.00303064074244095,-0.000953889460204083,-0.00296616812907254,-0.00620354430772591,-0.00417135900223631
"lamp_GB","em_m_view_109",FALSE,10,14,0.0054764206284367,0.0012997011567199,0.00406521589145502,0.00175258409487518,0.00744539941125635,0.00060067388147521,0.00342459215308047,-0.00204044900168167
"lamp_GB","wb_pg_2_1",FALSE,4,9,-0.0152284726858652,-0.00782991489271066,-0.0060793739509787,-0.00529116193932674,-0.0156652892311465,-0.00628070321159867,-0.019304466637797,-0.0121524022848279
"lamp_GB","wb_pg_pop1",FALSE,26,5,0.00452583465652866,0.0115959060689332,0.00422471400321515,0.0135643784936393,0.00686397653756764,0.0101901741209968,0.0019085507015297,0.0085014043237884
